VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
2271, 1767, -1.39551,  7.55859, -1.96484,  1.00, -0.35433,  0.51181, -0.77953,  0.00,  0.77647,  0.52157,  0.91373,  0.40784,  0.01697,  0.25366, -0.05222,  0.59326, ---, ---, ---, ---
2272, 1766, -0.42163,  8.63281, -2.66992,  1.00,  0.07874,  0.62205, -0.77953,  0.00,  0.75686,  0.74902,  0.84706,  0.25098,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2273, 1765, -2.55273,  8.85938, -1.25684,  1.00, -0.50394,  0.71654, -0.48031,  0.00,  0.75686,  0.74902,  0.84706,  0.3451,  0.30396,  1.00586, -0.82617,  0.09851, ---, ---, ---, ---
2274, 1768, -2.37695,  8.84375, -1.37598,  1.00, -0.48819,  0.71654, -0.49606,  0.00,  0.38431,  0.91765,  0.24706,  0.04706,  0.99658,  0.71875, -0.82617,  0.09851, ---, ---, ---, ---
2275, 1769, -1.07227,  9.28906, -1.24707,  1.00, -0.11811,  0.82677, -0.54331,  0.00,  0.38431,  0.91765,  0.24706,  0.09412,  0.3064,  1.00293, -0.05222,  0.59326, ---, ---, ---, ---
2276, 1770, -0.62109,  8.64063, -2.5332,  1.00, -0.07874,  0.62992, -0.77165,  0.00,  0.38431,  0.91765,  0.24706,  0.01569,  0.00964,  0.27246, -0.05222,  0.59326, ---, ---, ---, ---
2277, 1771,  0.83984,  8.99219, -0.96777,  1.00,  0.40945,  0.81102, -0.41732,  0.00,  0.87451,  0.29412,  0.23529,  0.21961,  0.99658,  0.71875,  0.68066,  0.13416, ---, ---, ---, ---
2278, 1772, -0.43066,  8.82813, -2.64258,  1.00,  0.07874,  0.6378, -0.77165,  0.00,  0.87451,  0.29412,  0.23529,  0.14118,  0.00964,  0.27246, -0.05222,  0.59326, ---, ---, ---, ---
2279, 1773,  0.53613,  9.8125, -2.03711,  1.00,  0.25197,  0.80315, -0.54331,  0.00,  0.87451,  0.29412,  0.23529,  0.04706,  0.3064,  1.00293, -0.05222,  0.59326, ---, ---, ---, ---
2280, 1774,  0.7583,  8.08594, -2.28125,  1.00,  0.35433,  0.59055, -0.72441,  0.00,  0.78431,  0.83137,  0.2549,  0.1098,  1.04785,  0.68164, -0.05222,  0.59326, ---, ---, ---, ---
2281, 1775, -0.56641,  8.80469, -2.8418,  1.00, -0.07087,  0.62205, -0.77953,  0.00,  0.61961,  0.96471,  0.36471,  0.01569,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2282, 1776,  0.9624,  9.00781, -0.79541,  1.00,  0.4252,  0.81102, -0.40157,  0.00,  0.61961,  0.96471,  0.36471,  0.03137,  0.30396,  1.00586,  0.68066,  0.13416, ---, ---, ---, ---
2283, 1777, -0.83838,  8.75781, -1.25879,  1.00, -0.09449,  0.81102, -0.5748,  0.00,  0.43137,  0.99608,  0.50196,  0.21961,  0.01697,  0.25366, -0.05222,  0.59326, ---, ---, ---, ---
2284, 1776,  0.9624,  9.00781, -0.79541,  1.00,  0.4252,  0.81102, -0.40157,  0.00,  0.61961,  0.96471,  0.36471,  0.03137,  0.30396,  1.00586,  0.68066,  0.13416, ---, ---, ---, ---
2285, 1775, -0.56641,  8.80469, -2.8418,  1.00, -0.07087,  0.62205, -0.77953,  0.00,  0.61961,  0.96471,  0.36471,  0.01569,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2286, 1778,  0.30981,  11.65625, -4.50391,  1.00,  0.11024,  0.73228, -0.67717,  0.00,  0.24314,  0.9098,  0.63137,  0.68627,  1.04785,  0.68164, -0.05222,  0.59326, ---, ---, ---, ---
2287, 1779, -1.08789,  11.07813, -5.42578,  1.00, -0.07874,  0.6378, -0.76378,  0.00,  0.09804,  0.72941,  0.6902,  0.74902,  0.30396,  1.00586, -0.05222,  0.59326, ---, ---, ---, ---
2288, 1780, -0.03696,  10.98438, -3.07422,  1.00,  0.08661,  0.79528, -0.59843,  0.00,  0.09804,  0.72941,  0.6902,  0.37647,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2289, 1781, -0.50146,  9.84375, -4.125,  1.00,  0.04724,  0.62992, -0.77953,  0.00,  0.04314,  0.49804,  0.70588,  0.62353,  0.01697,  0.25366, -0.05222,  0.59326, ---, ---, ---, ---
2290, 1780, -0.03696,  10.98438, -3.07422,  1.00,  0.08661,  0.79528, -0.59843,  0.00,  0.09804,  0.72941,  0.6902,  0.37647,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2291, 1779, -1.08789,  11.07813, -5.42578,  1.00, -0.07874,  0.6378, -0.76378,  0.00,  0.09804,  0.72941,  0.6902,  0.74902,  0.30396,  1.00586, -0.05222,  0.59326, ---, ---, ---, ---
2292, 1782, -0.99951,  11.07813, -5.23047,  1.00, -0.07087,  0.64567, -0.75591,  0.00,  0.74118,  0.92941,  0.41569,  0.31373,  0.99658,  0.71875, -0.05222,  0.59326, ---, ---, ---, ---
2293, 1783, -1.375,  11.53906, -3.97461,  1.00, -0.11811,  0.74803, -0.65354,  0.00,  0.74118,  0.92941,  0.41569,  0.23529,  0.3064,  1.00293, -0.05222,  0.59326, ---, ---, ---, ---
2294, 1784, -0.13965,  10.98438, -3.29492,  1.00,  0.07874,  0.75591, -0.64567,  0.00,  0.74118,  0.92941,  0.41569,  0.18824,  0.00964,  0.27246, -0.05222,  0.59326, ---, ---, ---, ---
2295, 1785,  1.68652,  11.85938, -3.88477,  1.00,  0.29921,  0.74803, -0.59843,  0.00,  0.45882,  0.07451,  0.24314,  0.96863,  0.99658,  0.71875, -0.05222,  0.59326, ---, ---, ---, ---
2296, 1786, -0.17102,  11.75, -3.39258,  1.00,  0.06299,  0.81102, -0.58268,  0.00,  0.45882,  0.07451,  0.24314,  0.71765,  0.00964,  0.27246, -0.05222,  0.59326, ---, ---, ---, ---
2297, 1787,  0.60889,  12.27344, -4.39453,  1.00,  0.14173,  0.75591, -0.6378,  0.00,  0.45882,  0.07451,  0.24314,  0.95294,  0.3064,  1.00293, -0.05222,  0.59326, ---, ---, ---, ---
2298, 1788,  0.68848,  10.80469, -3.74609,  1.00,  0.16535,  0.72441, -0.66929,  0.00,  0.37255,  0.56078,  0.01961,  0.50196,  1.04785,  0.68164, -0.05222,  0.59326, ---, ---, ---, ---
2299, 1789, -0.38501,  11.72656, -3.3418,  1.00,  0.03937,  0.81102, -0.58268,  0.00,  0.38039,  0.78039,  0.10588,  0.56078,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2300, 1790,  1.87402,  11.875, -3.92969,  1.00,  0.31496,  0.74016, -0.59055,  0.00,  0.38039,  0.78039,  0.10588,  0.92157,  0.30396,  1.00586, -0.05222,  0.59326, ---, ---, ---, ---
2301, 1791,  0.78955,  12.29688, -2.67188,  1.00,  0.2126,  0.85039, -0.48031,  0.00,  0.41176,  0.94118,  0.27843,  0.67059,  0.01697,  0.25366, -0.05222,  0.59326, ---, ---, ---, ---
2302, 1790,  1.87402,  11.875, -3.92969,  1.00,  0.31496,  0.74016, -0.59055,  0.00,  0.38039,  0.78039,  0.10588,  0.92157,  0.30396,  1.00586, -0.05222,  0.59326, ---, ---, ---, ---
2303, 1789, -0.38501,  11.72656, -3.3418,  1.00,  0.03937,  0.81102, -0.58268,  0.00,  0.38039,  0.78039,  0.10588,  0.56078,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2304, 1792, -3.05273,  12.11719, -4.09375,  1.00, -0.32283,  0.74016, -0.59055,  0.00,  0.2902,  0.28235,  0.89804,  0.12549,  0.99658,  0.71875, -0.05222,  0.59326, ---, ---, ---, ---
2305, 1793, -1.16309,  11.90625, -3.21875,  1.00, -0.09449,  0.8189, -0.55906,  0.00,  0.2902,  0.28235,  0.89804,  0.74902,  0.00964,  0.27246, -0.05222,  0.59326, ---, ---, ---, ---
2306, 1794, -2.28516,  12.89063, -3.26563,  1.00, -0.23622,  0.83465, -0.49606,  0.00,  0.2902,  0.28235,  0.89804,  0.81176,  0.3064,  1.00293, -0.05222,  0.59326, ---, ---, ---, ---
2307, 1795, -2.38086,  11.16406, -3.01563,  1.00, -0.29921,  0.75591, -0.5748,  0.00,  0.36471,  0.81961,  0.86275,  0.47059,  1.04785,  0.68164, -0.05222,  0.59326, ---, ---, ---, ---
2308, 1796, -0.95166,  11.875, -3.10938,  1.00, -0.07087,  0.82677, -0.55906,  0.00,  0.45882,  0.96078,  0.69412,  0.50196,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
