VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
67, 12, -2.91211,  0.73779,  1.31934,  1.00, -0.46457,  0.7874,  0.40945,  0.00,  1.00,  1.00,  1.00,  0.00,  0.63037,  0.25098,  0.63037,  0.25098, -0.83465, -0.23622, -0.49606, -1.00
68, 19, -2.38086, -0.32202,  3.01758,  1.00, -0.4252,  0.74016,  0.52756,  0.00,  1.00,  1.00,  1.00,  0.00,  0.52441,  0.13013,  0.52441,  0.13013, -0.85039, -0.13386, -0.50394, -1.00
69, 5, -1.38477,  0.6875,  2.28906,  1.00, -0.29921,  0.80315,  0.51181,  0.00,  1.00,  1.00,  1.00,  0.00,  0.48071,  0.23669,  0.48071,  0.23669, -0.86614, -0.00787, -0.49606, -1.00
70, 19, -2.38086, -0.32202,  3.01758,  1.00, -0.4252,  0.74016,  0.52756,  0.00,  1.00,  1.00,  1.00,  0.00,  0.52441,  0.13013,  0.52441,  0.13013, -0.85039, -0.13386, -0.50394, -1.00
71, 17, -0.77783, -0.32202,  4.53906,  1.00, -0.19685,  0.85827,  0.48031,  0.00,  1.00,  1.00,  1.00,  0.00,  0.32227,  0.08765,  0.32227,  0.08765, -0.85039,  0.09449, -0.51969, -1.00
72, 13,  0.47412,  0.5083, -2.88086,  1.00,  0.07874,  0.84252, -0.53543,  0.00,  1.00,  1.00,  1.00,  0.00,  0.58594,  0.73877,  0.58594,  0.73877, -0.82677, -0.24409, -0.50394, -1.00
73, 8,  2.03906,  0.68945, -2.0332,  1.00,  0.27559,  0.87402, -0.40945,  0.00,  1.00,  1.00,  1.00,  0.00,  0.41992,  0.74805,  0.41992,  0.74805, -0.86614,  0.03937, -0.49606, -1.00
74, 20,  1.82813, -0.32202, -4.05469,  1.00,  0.14173,  0.86614, -0.47244,  0.00,  1.00,  1.00,  1.00,  0.00,  0.53564,  0.89844,  0.53564,  0.89844, -0.84252, -0.14173, -0.51969, -1.00
75, 7, -2.32227,  0.75439, -1.50098,  1.00, -0.34646,  0.88189, -0.32283,  0.00,  1.00,  1.00,  1.00,  0.00,  0.74072,  0.49219,  0.74072,  0.49219, -0.75591, -0.46457, -0.46457, -1.00
76, 14, -1.09473,  0.46655, -2.74805,  1.00, -0.16535,  0.85039, -0.49606,  0.00,  1.00,  1.00,  1.00,  0.00,  0.7041,  0.65137,  0.7041,  0.65137, -0.77165, -0.4252, -0.47244, -1.00
77, 21, -3.30273, -0.32202, -3.68164,  1.00, -0.22835,  0.90551, -0.35433,  0.00,  1.00,  1.00,  1.00,  0.00,  0.92529,  0.61768,  0.92529,  0.61768, -0.7874, -0.3937, -0.48031, -1.00
78, 8,  2.03906,  0.68945, -2.0332,  1.00,  0.27559,  0.87402, -0.40945,  0.00,  1.00,  1.00,  1.00,  0.00,  0.41992,  0.74805,  0.41992,  0.74805, -0.86614,  0.03937, -0.49606, -1.00
79, 16,  3.25,  0.46997, -0.92432,  1.00,  0.38583,  0.91339, -0.09449,  0.00,  1.00,  1.00,  1.00,  0.00,  0.27539,  0.71533,  0.27539,  0.71533, -0.84252,  0.31496, -0.43307, -1.00
80, 22,  5.50391, -0.32202, -2.08203,  1.00,  0.29921,  0.94488, -0.14961,  0.00,  1.00,  1.00,  1.00,  0.00,  0.18774,  0.87207,  0.18774,  0.87207, -0.89764,  0.22047, -0.37795, -1.00
81, 9,  0.15222,  0.5083,  3.22852,  1.00, -0.04724,  0.85827,  0.51969,  0.00,  1.00,  1.00,  1.00,  0.00,  0.3125,  0.2373,  0.3125,  0.2373, -0.82677,  0.25984, -0.50394, -1.00
82, 23,  1.07031, -0.32202,  4.76953,  1.00,  0.03937,  0.89764,  0.44882,  0.00,  1.00,  1.00,  1.00,  0.00,  0.16406,  0.15967,  0.16406,  0.15967, -0.7874,  0.30709, -0.53543, -1.00
