VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
329, 205, -1.29102,  2.61719, -1.16211,  1.00, -0.74803,  0.31496, -0.58268,  0.00,  0.12549,  0.70588,  0.75686,  0.61961,  0.54004,  0.0039, -0.70605,  0.52148, ---, ---, ---, ---
330, 207, -1.19043,  2.16992, -1.01172,  1.00, -0.77953,  0.22047, -0.59055,  0.00,  0.06275,  0.39216,  0.71765,  0.5451,  0.09113,  0.2561, -0.70605,  0.52148, ---, ---, ---, ---
331, 208, -0.76953,  2.07813, -0.91455,  1.00, -0.68504,  0.22047, -0.70079,  0.00,  0.12157,  0.21176,  0.65098,  0.81176,  0.05051,  0.69678, -0.70605,  0.52148, ---, ---, ---, ---
332, 206, -0.57813,  2.29883, -0.67139,  1.00, -0.68504,  0.29134, -0.66929,  0.00,  0.06275,  0.45098,  0.73725,  0.52941,  0.42188,  0.8999, -0.70605,  0.52148, ---, ---, ---, ---
333, 204, -0.6416,  2.74414, -0.78223,  1.00, -0.62992,  0.43307, -0.64567,  0.00,  0.16078,  0.76863,  0.75294,  0.78039,  0.88281,  0.69629, -0.17505,  0.82471, ---, ---, ---, ---
334, 209, -0.89453,  2.8125, -1.18066,  1.00, -0.59055,  0.3937, -0.70866,  0.00,  0.30588,  0.91765,  0.69412,  0.98431,  0.94971,  0.22192, -0.17505,  0.82471, ---, ---, ---, ---
335, 205, -1.29102,  2.61719, -1.16211,  1.00, -0.74803,  0.31496, -0.58268,  0.00,  0.12549,  0.70588,  0.75686,  0.61961,  0.54004,  0.0039, -0.70605,  0.52148, ---, ---, ---, ---
336, 210, -0.46558,  1.85547, -0.93311,  1.00, -0.46457,  0.16535, -0.86614,  0.00,  0.22353,  0.77647,  0.81176,  0.26667,  0.4939,  0.0262,  0.12573,  0.81201, ---, ---, ---, ---
337, 211, -0.04181,  1.63086, -0.23059,  1.00, -0.15748,  0.13386, -0.97638,  0.00,  0.22353,  0.77647,  0.81176,  0.78039,  0.83545,  0.71875,  0.12573,  0.81201, ---, ---, ---, ---
338, 212, -0.0441,  1.97656, -0.58008,  1.00, -0.11811,  0.22835, -0.9685,  0.00,  0.22353,  0.77647,  0.81176,  0.60784,  0.90039,  0.24475,  0.12573,  0.81201, ---, ---, ---, ---
339, 213,  0.04376,  1.41113, -0.60352,  1.00,  0.15748,  0.04724, -0.98425,  0.00,  0.7451,  0.72941,  0.12941,  0.76471,  0.88037,  0.69727,  0.12573,  0.81201, ---, ---, ---, ---
340, 214, -0.51074,  1.87891, -1.00781,  1.00, -0.47244,  0.16535, -0.86614,  0.00,  0.6549,  0.84706,  0.17255,  0.29804,  0.54004,  0.0039,  0.12573,  0.81201, ---, ---, ---, ---
341, 215,  0.00014,  1.6084, -0.16101,  1.00,  0.97638,  0.13386, -0.15748,  0.00,  0.41569,  0.95686,  0.3098,  0.28235,  0.42236,  0.90137,  0.12573,  0.81201, ---, ---, ---, ---
342, 216, -0.61279,  1.85156, -0.53418,  1.00, -0.85827,  0.16535, -0.48819,  0.00,  0.32549,  0.96078,  0.42353,  0.6549,  0.09351,  0.25635, -0.70605,  0.52148, ---, ---, ---, ---
343, 215,  0.00014,  1.6084, -0.16101,  1.00,  0.97638,  0.13386, -0.15748,  0.00,  0.41569,  0.95686,  0.3098,  0.28235,  0.42236,  0.90137,  0.12573,  0.81201, ---, ---, ---, ---
344, 214, -0.51074,  1.87891, -1.00781,  1.00, -0.47244,  0.16535, -0.86614,  0.00,  0.6549,  0.84706,  0.17255,  0.29804,  0.54004,  0.0039,  0.12573,  0.81201, ---, ---, ---, ---
345, 216, -0.61279,  1.85156, -0.53418,  1.00, -0.85827,  0.16535, -0.48819,  0.00,  0.32549,  0.96078,  0.42353,  0.6549,  0.09351,  0.25635, -0.70605,  0.52148, ---, ---, ---, ---
346, 217, -0.39966,  1.62402, -0.18542,  1.00, -0.98425,  0.12598, -0.14173,  0.00,  0.22745,  0.91765,  0.50196,  0.57647,  0.0531,  0.69824, -0.70605,  0.52148, ---, ---, ---, ---
347, 215,  0.00014,  1.6084, -0.16101,  1.00,  0.97638,  0.13386, -0.15748,  0.00,  0.41569,  0.95686,  0.3098,  0.28235,  0.42236,  0.90137,  0.12573,  0.81201, ---, ---, ---, ---
348, 213,  0.04376,  1.41113, -0.60352,  1.00,  0.15748,  0.04724, -0.98425,  0.00,  0.7451,  0.72941,  0.12941,  0.76471,  0.88037,  0.69727,  0.12573,  0.81201, ---, ---, ---, ---
349, 218, -0.31226,  1.47363, -0.93359,  1.00, -0.3937,  0.06299, -0.92126,  0.00,  0.85098,  0.60392,  0.15686,  0.87451,  0.94727,  0.22217,  0.12573,  0.81201, ---, ---, ---, ---
